t_s,i_gate_A,R_ohm,G_S,G_nv (S),G_volatile (S),drift_on
0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+02,2.000000000000000042e-03,2.000000000000000042e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000048e-04,0.000000000000000000e+00,5.000000047500001301e+02,1.999999980999999684e-03,1.999999980999999684e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.049999999999999956e-04,0.000000000000000000e+00,5.000000097375002497e+02,1.999999961049999699e-03,1.999999961049999699e-03,0.000000000000000000e+00,0.000000000000000000e+00
3.152499999999999920e-04,0.000000000000000000e+00,5.000000149743754605e+02,1.999999940102499887e-03,1.999999940102499887e-03,0.000000000000000000e+00,0.000000000000000000e+00
4.310124999999999937e-04,0.000000000000000000e+00,5.000000204730944233e+02,1.999999918107625650e-03,1.999999918107625650e-03,0.000000000000000000e+00,0.000000000000000000e+00
5.525631249999999901e-04,0.000000000000000000e+00,5.000000262467494281e+02,1.999999895013007851e-03,1.999999895013007851e-03,0.000000000000000000e+00,0.000000000000000000e+00
6.801912812499999808e-04,0.000000000000000000e+00,5.000000323090871461e+02,1.999999870763659662e-03,1.999999870763659662e-03,0.000000000000000000e+00,0.000000000000000000e+00
8.142008453125000687e-04,0.000000000000000000e+00,5.000000386745420542e+02,1.999999845301843847e-03,1.999999845301843847e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.549108875781251501e-04,0.000000000000000000e+00,5.000000453582696309e+02,1.999999818566937891e-03,1.999999818566937891e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.102656431957031377e-03,0.000000000000000000e+00,5.000000523761837599e+02,1.999999790495286985e-03,1.999999790495286985e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.257789253554883078e-03,0.000000000000000000e+00,5.000000597449935640e+02,1.999999761020054400e-03,1.999999761020054400e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.420678716232627332e-03,0.000000000000000000e+00,5.000000674822439350e+02,1.999999730071060598e-03,1.999999730071060598e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.591712652044258765e-03,0.000000000000000000e+00,5.000000756063570293e+02,1.999999697574617562e-03,1.999999697574617562e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.771298284646471684e-03,0.000000000000000000e+00,5.000000841366758664e+02,1.999999663453353154e-03,1.999999663453353154e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.959863198878795433e-03,0.000000000000000000e+00,5.000000930935108272e+02,1.999999627626025938e-03,1.999999627626025938e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.157856358822735077e-03,0.000000000000000000e+00,5.000001024981877435e+02,1.999999590007333055e-03,1.999999590007333055e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.365749176763872093e-03,0.000000000000000000e+00,5.000001123730986592e+02,1.999999550507706395e-03,1.999999550507706395e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.584036635602065830e-03,0.000000000000000000e+00,5.000001227417553196e+02,1.999999509033099226e-03,1.999999509033099226e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.813238467382169015e-03,0.000000000000000000e+00,5.000001336288449920e+02,1.999999465484762848e-03,1.999999465484762848e-03,0.000000000000000000e+00,0.000000000000000000e+00
3.053900390751277706e-03,0.000000000000000000e+00,5.000001450602894124e+02,1.999999419759010671e-03,1.999999419759010671e-03,0.000000000000000000e+00,0.000000000000000000e+00
3.306595410288841810e-03,0.000000000000000000e+00,5.000001570633062329e+02,1.999999371746972315e-03,1.999999371746972315e-03,0.000000000000000000e+00,0.000000000000000000e+00
3.571925180803283903e-03,0.000000000000000000e+00,5.000001696664743349e+02,1.999999321334332975e-03,1.999999321334332975e-03,0.000000000000000000e+00,0.000000000000000000e+00
3.850521439843448100e-03,0.000000000000000000e+00,5.000001828998010751e+02,1.999999268401063228e-03,1.999999268401063228e-03,0.000000000000000000e+00,0.000000000000000000e+00
4.143047511835620290e-03,0.000000000000000000e+00,5.000001967947945900e+02,1.999999212821131512e-03,1.999999212821131512e-03,0.000000000000000000e+00,0.000000000000000000e+00
